Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M990,Heavy Traffic,2622,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,25 MIN,6,Running Late
M636,Problem Run,2930,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,60 MIN,5,Running Late
M664,Heavy Traffic,3417,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
M658,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,2,Running Late
M696,Problem Run,2035,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
M657,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
M868,Heavy Traffic,4112,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
M666,Heavy Traffic,2699,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,5,Running Late
W937,Heavy Traffic,75816,08 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,2,Running Late
M303,Other,3475,07 O'Clock,Manhattan,CONSOLIDATED BUS TRANS. I,20-25 MIN,2,Running Late
X060,Other,12486,07 O'Clock,Bronx,"BORO TRANSIT, INC.",40-45 MIN,2,Running Late
M868,Heavy Traffic,4112,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,1,Running Late
Q801,Heavy Traffic,26447,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,20 MIN,3,Running Late
L726,Heavy Traffic,18002,07 O'Clock,Bronx,"RELIANT TRANS, INC.",15 MIN,2,Running Late
M300,Heavy Traffic,2032,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,5,Running Late
M936,Heavy Traffic,1616,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
M526,Heavy Traffic,2444,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
M990,Problem Run,2622,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,7,Running Late
W954,Heavy Traffic,75550,07 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,2,Running Late
Q911,Heavy Traffic,26443,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
M802,Heavy Traffic,2632,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,5,Running Late
M603,Problem Run,2622,08 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,40 MIN,6,Running Late
W928,Other,75619,08 O'Clock,Westchester,"RELIANT TRANS, INC.",20 MIN,3,Running Late
W957,Heavy Traffic,75908,07 O'Clock,Westchester,"RELIANT TRANS, INC.",25 MIN,3,Running Late
L723,Heavy Traffic,18002,07 O'Clock,Others,"RELIANT TRANS, INC.",30 MIN,7,Running Late
M603,Heavy Traffic,2622,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,40 MIN,6,Running Late
L997,Heavy Traffic,21907,07 O'Clock,Brooklyn,"RELIANT TRANS, INC.",20 MIN,3,Running Late
M636,Problem Run,2930,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,1 HR,6,Running Late
M526,Heavy Traffic,2444,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,15 MIN,2,Running Late
